Tim Kvasnosky,2021年9月3日 在美国审核,Specs are BS， product is poorly made and designed,I ordered an IFull m.2 enclosure drive for my NVMe drive. Drive rated 3k r/w， and when mounted internally performed as such. I previously purchased the manufacturer's enclosure and it only performed 1k r/w. I returned the enclosure. This drive said 10g r/w rating so when it was delivering slower than my other enclosure I was VERY disappointed. The two photos show the enclosures issues. The faster specs are my drive mounted internally， the slower setting are via this enclosure. Not great. Also isn't tool free， required using pliers to pull additional mounting screws. And， once you use the thermal paste and close this thing up， good luck ever opening it. Sucks， avoid this like the plague， must be a better one out there.,1.0 颗星，最多 5 颗星
Russ,2021年6月11日 在美国审核,Quality enclosure,This is an interesting design， not my favourite but this clean and minimalist.The body is anodized aluminum and it is quality， it’s not cheesy like others. The inside side adapter is a plastic base and it too is precision made.When you plug it into your computer it works with ease basically ready to go with no fuse.It comes with a c to c port connector and a c port to a 2.0 USB port connector. Both are nice quality transfer cables I just wish they were longer by six inches .My favourite part is the thermal tape the unit comes with .This is a nice enclosure for your ssd. If you get this I don’t think you will be disappoint,5.0 颗星，最多 5 颗星
Dave U.,2021年5月20日 在美国审核,Useful tool for working with NVMe cards,This is a very useful tool for working with NVMe cards. I got it so I could prepare an NVMe card for my new PC ahead of time before installing it in the system board's NVMe slot.Just one little issue: this device comes with two tiny black plastic doo-dads that are used to keep the NVMe card in place. With my NVMe cards I had to remove one of the two doo-dads otherwise it would have gotten in the way of the card. Then， when I removed the card to install it in my PC， the doo-dad slipped out of its slot and almost got lost. A word of advice: if you buy one of these devices， be very， very careful about these black plastic things lest you lose them. Without them the card won't stay in place so the device would be useless.,4.0 颗星，最多 5 颗星
amzn hunter,2021年5月30日 在美国审核,Little adapter that makes my NVMe ssd portable, From another project I have a NVMe ssd with M.2. interface available. With this adapter it's now a 1TB portable ssd drive that fits into my point very easily. The package even comes with foam that connects the NVMe to the metal enclosure which I suppose acts as a heat sink as well. Slide out， put the NVMe in and lock it with the locknut. No screw driver needed in the whole operation! It even comes with 2 data cables， USB C-C， USBC-A. I don't know what more one can ask for.,5.0 颗星，最多 5 颗星
Army Vet,2021年8月12日 在美国审核,Pleased with performance and price,I looked at a lot of enclosures on Amazon and found mixed reviews. I decided on this one and it is working fine. One tip so you don't make this mistake I did， make sure your SSD drive is properly seated in the enclosure. When I first inserted my drive in the enclosure， it appeared seated properly and I was able to lock it in place with the thumb screw at the top of the SSD drive. I plugged the enclosure into my USB port and Windows recognized the enclosure， but did not see the drive. At first I thought the enclosure was defective， but then I thought I should try reseating the drive. While doing so， I noticed a very small portion of the SSD connector was visible before I reseated it， but after reseating it， the SSD connectors were not visible.,5.0 颗星，最多 5 颗星
DON P,2021年6月20日 在美国审核,WHAT TO DO WITH OLD M.2 SOLVED,My old M.2 fit into place and then screwed down. USB cable plugged in and the computer recognized the drive. Simple， and it works.The screw is actually a key. It is small and fits one way the give a quarter turn. Hard to hold with fingers but easy with simple pliers.I am pleased with my purchase.,5.0 颗星，最多 5 颗星
Clinton M. Banner,2021年5月1日 在美国审核,Great quality， price， and performance.,Works perfectly for me. This baby handles both M and B+M Key， and both NVMe and SATA. I had a SATA 500G M.2 that would not have worked on many of the similar items for sale (that don't support SATA). I am very pleased!All my critical files， legal， and financial backups are on a .5 TB drive I can easily slip into my pocket if there is an emergency - and are immune from main PC disk crashes...,5.0 颗星，最多 5 颗星
Alex Franco,2021年4月23日 在美国审核,Must have!!,Quick and easy setup， just pop it open insert the SSD close it and sync. I put in a 1T Samsung 970 Nand SSD and plugged it to my ps4， I had to format the drive but once it was done， It worked flawlessly.This device made it easy to upgrade my drive without having to open the receiving device and risking a warranty void.I am extremely happy with this! Must get if you have an extensive game collection or just simply need the space.,5.0 颗星，最多 5 颗星
Brad,2021年6月15日 在美国审核,Easy to use， good quality & inexpensive,Just open drive with press of finger， add drive and thermal pad. Simple install takes minutes & worked right away on PC and consoles. The metal outside even with thermal pad gets pretty warm， after copying 100gb game， though should be fine playing games for hours. Feel like pretty good quality and am happy so far.,5.0 颗星，最多 5 颗星
Huy Le,2021年7月9日 在美国审核,The adapter, The adapter is designed with sturdy housing， this device is capable of fast data transfer and real line speed. With the appropriate connector， it is easier to adjust the connection between the two devices.,5.0 颗星，最多 5 颗星
